STT,Mã học phần,Tên học phần,Số tín chỉ (Credits)
5,CSC13010,"Thiết kế phần mềm (Software Design)",4
6,CSC14118,"Nhập môn dữ liệu lớn (Introduction to Big Data)",4
7,CSC15002,"Bảo mật cơ sở dữ liệu (Database Security)",4
8,CSC15003,"Mã hóa ứng dụng (Applied Cryptography)",4
9,CSC15007,"Thống kê máy tính và ứng dụng (Computer Statistics and Applications)",4
10,CSC16003,"Phân tích thống kê dữ liệu nhiều biến (Multivariate Statistical Data Analysis)",4
11,CSC16004,"Thị giác máy tính (Computer Vision)",4
12,CSC16005,"Xử lý ảnh số và video số (Digital Image and Video Processing)",4
13,CSC16109,"Ứng dụng xử lý ảnh số và video số (Digital Image and Video Processing Applications)",4
14,BAA00102,"Kinh tế chính trị Mác - Lênin (Marxist-Leninist Political Economy)",2
# --- Học kỳ 9 ---
1,CSC10103,"Khởi nghiệp (Entrepreneurship)",3
2,CSC10107,"Thực tập thực tế (Practical Internship)",4
3,CSC15001,"An ninh máy tính (Computer Security)",4
4,CSC11002,"Hệ thống viễn thông (Telecommunication Systems)",4
5,CSC11116,"DevOps nâng cao (Advanced DevOps)",4
6,CSC11118,"Triển khai và vận hành điện toán đám mây (Cloud Computing Deployment and Operations)",4
7,CSC13003,"Kiểm thử phần mềm (Software Testing)",4
8,CSC13006,"Quản lý dự án phần mềm (Software Project Management)",4
9,CSC13112,"Thiết kế giao diện (Interface Design)",4
10,CSC15004,"Học thống kê (Statistical Learning)",4
11,CSC16105,"Truy vấn thông tin thị giác (Visual Information Retrieval)",4
12,CSC16106,"Nhập môn lập trình điều khiển thiết bị thông minh (Introduction to Smart Device Control Programming)",4
13,CSC14118,"Nhập môn dữ liệu lớn (Introduction to Big Data)",4
14,CSC17103,"Khai thác dữ liệu đồ thị (Graph Data Mining)",4
15,CSC14111,"Nhập môn thiết kế và phân tích giải thuật (Introduction to Algorithm Design and Analysis)",4
# --- Học kỳ 10 ---
